#TAXONOMY,Kingdom,Phylum,Class,Order,Family,Genus,Species
c6b2296eff765706fbd1ac527f9896a3,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__Vishniacozyma_victoriae
0d838919b17e75e7271a8873b71090a8,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__Vishniacozyma_victoriae
6f29d9a499555b0cd6e441005371ae9f,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Arnium,s__Arnium_sp
de00f4a6d609060a7d0f061a0c1eea3e,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Sordariales_fam_Incertae_sedis,g__Sordariales_gen_Incertae_sedis,s__Sordariales_sp
d5a9015aa890305b9d787279631d2100,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiales,f__Cystobasidiaceae,g__Cystobasidium,
fb858fb752dafade1ff82a39ab73c3af,k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__Geoglossaceae,g__Sarcoleotia,s__Sarcoleotia_globosa
ed0f570d77b0a34fd7bf3f075f6b7f5d,k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__Geoglossaceae,g__Sarcoleotia,s__Sarcoleotia_globosa
f542dc02bc5e47891db81d6c3e9575df,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Melanommataceae,g__Herpotrichia,s__Herpotrichia_sp
23abe836f352c22fb9b343d0e623d4d5,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_Incertae_sedis,g__Candida,s__Candida_melibiosica
6ab93237dede44c3ac35bbdb5295b5a8,k__Fungi,p__Olpidiomycota,c__Olpidiomycetes,o__Olpidiales,f__Olpidiaceae,,
a143c079262fbc25d36fcf395a4e033c,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiales,f__Cystobasidiaceae,g__Cystobasidium,s__Cystobasidium_sp
fd762ff6e065fab333b7165915e9b5ae,k__Fungi,p__Olpidiomycota,c__Olpidiomycetes,o__Olpidiales,f__Olpidiaceae,,
b81259f63b5ecbf5ed536cc676baaa7c,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp
5f11813e448fc441325f0c37dfb7fec3,k__Fungi,p__Ascomycota,c__Taphrinomycetes,o__Taphrinales,f__Protomycetaceae,g__Protomyces,s__Protomyces_sp
7130f09ce10dd3225e3c3fc5d07ca0b6,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierellaceae_gen_Incertae_sedis,s__Mortierellaceae_sp
38af275f8e23b4cd9f69f06000c9b2b9,k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__Geoglossaceae,g__Sarcoleotia,s__Sarcoleotia_globosa
3aab7b901928e6581d1498f02b5e8128,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,,,
8f415f34e124126be1b1f3a3787e62ae,k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__Geoglossaceae,g__Sarcoleotia,s__Sarcoleotia_globosa
681c72b12e22517c09c20302afa65a25,k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__Geoglossaceae,g__Sarcoleotia,s__Sarcoleotia_globosa
f5540ac116150aee3f803596d711230d,k__Fungi,p__Ascomycota,,,,,
f677cf47e6c6971b5e8dea45cb5d3b06,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,g__Cutaneotrichosporon,s__Cutaneotrichosporon_debeurmannianum
d5bd72f31ecd44192ba99463fd384534,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Teratosphaeriaceae,g__Teratosphaeriaceae_gen_Incertae_sedis,s__Teratosphaeriaceae_sp
547b8cd33fe29ff6e9f9f7dd4cef468e,k__Fungi,,,,,,
d3dceb715763da153e1d55bec2e8a016,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__Erythrobasidiales_fam_Incertae_sedis,g__Erythrobasidiales_gen_Incertae_sedis,s__Erythrobasidiales_sp
9356dd58c80ad8d25e4c7a2ba3d8c4c6,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp
19abd1663b605b9357aa6527485a0b6a,k__Fungi,p__Basidiomycota,,,,,
